model,model_id,case_id,category,variant_id,kind,seed,image_path,image_sha256,all_correct,atom_accuracy,semantic_state,atom_keys,atom_results,predictions,censored,black_image,alternate_correct,exclusive_control,elapsed_seconds,peak_allocated_bytes,audit_id
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_017,spatial,p3,equivalent,211,images/sd15/main_spatial_017/p3/seed_211.png,dbb21ce489fccfa70243c9b0640302dd299fa76655cc4ad413c1f9fa70d6418b,0,0.0,000,"[""count:cup=1"", ""count:book=1"", ""relation:cup:above:book""]","{""count:book=1"": false, ""count:cup=1"": false, ""relation:cup:above:book"": false}","{""colors"": {}, ""detections"": {""book"": [{""box"": [-1.2699999809265137, 2.450000047683716, 469.3999938964844, 506.5799865722656], ""score"": 0.41132980585098267}, {""box"": [229.92999267578125, 1.8600000143051147, 338.4800109863281, 505.9800109863281], ""score"": 0.2942711114883423}, {""box"": [49.540000915527344, 4.420000076293945, 151.75, 511.19000244140625], ""score"": 0.22267697751522064}, {""box"": [153.42999267578125, 4.900000095367432, 228.32000732421875, 508.5], ""score"": 0.1881328970193863}, {""box"": [1.8700000047683716, 3.890000104904175, 53.630001068115234, 507.95001220703125], ""score"": 0.10433097183704376}], ""cup"": []}, ""relations"": {""relation:cup:above:book"": null}}",0,0,,1,0.8605961068533361,3439791104,item_00249
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_color_binding_003,color_binding,p1,equivalent,101,images/sdxl/main_color_binding_003/p1/seed_101.png,163dfa08459b9c17e2aa2825b9a01c552e017a110e828e2e0e5833830d041568,0,0.0,0000,"[""count:banana=1"", ""count:bottle=1"", ""color:banana=yellow"", ""color:bottle=purple""]","{""color:banana=yellow"": false, ""color:bottle=purple"": false, ""count:banana=1"": false, ""count:bottle=1"": false}","{""colors"": {""banana"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}, ""bottle"": {""confidence"": 0.6132205724716187, ""label"": ""black"", ""margin"": 0.41338104009628296}}, ""detections"": {""banana"": [], ""bottle"": [{""box"": [80.55000305175781, 132.82000732421875, 149.66000366210938, 385.8500061035156], ""score"": 0.35377931594848633}, {""box"": [445.9200134277344, 134.41000366210938, 513.6099853515625, 385.8399963378906], ""score"": 0.32743725180625916}, {""box"": [3.369999885559082, 123.98999786376953, 511.239990234375, 384.07000732421875], ""score"": 0.30647003650665283}, {""box"": [258.82000732421875, 142.13999938964844, 332.4599914550781, 382.2699890136719], ""score"": 0.29396852850914}, {""box"": [159.19000244140625, 127.1500015258789, 316.69000244140625, 383.6700134277344], ""score"": 0.2900393009185791}, {""box"": [323.3299865722656, 131.35000610351562, 385.8999938964844, 378.20001220703125], ""score"": 0.2654808759689331}, {""box"": [337.5299987792969, 127.6500015258789, 492.30999755859375, 383.7900085449219], ""score"": 0.25765132904052734}, {""box"": [1.4700000286102295, 127.19999694824219, 130.9199981689453, 381.989990234375], ""score"": 0.25372496247291565}, {""box"": [143.9600067138672, 134.8300018310547, 201.05999755859375, 371.3900146484375], ""score"": 0.24960751831531525}, {""box"": [-0.15000000596046448, 128.57000732421875, 27.760000228881836, 375.4200134277344], ""score"": 0.11141892522573471}, {""box"": [380.3500061035156, 280.9599914550781, 453.42999267578125, 354.6700134277344], ""score"": 0.1024506539106369}, {""box"": [15.609999656677246, 280.2099914550781, 85.83000183105469, 355.1700134277344], ""score"": 0.10213296115398407}, {""box"": [196.9600067138672, 282.19000244140625, 273.04998779296875, 356.55999755859375], ""score"": 0.1015760600566864}]}, ""relations"": {}}",0,0,,1,1.499398163985461,8060311040,item_00250
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_022,count,p2,equivalent,71,images/pixart_sigma/main_count_022/p2/seed_71.png,9931b9926de9dd40fb9d7e7810e9163552dc07ceaeb5554515b9f44e3d0e45ac,0,0.0,0,"[""count:clock=4""]","{""count:clock=4"": false}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [254.1199951171875, 209.10000610351562, 396.92999267578125, 366.2699890136719], ""score"": 0.6362203359603882}, {""box"": [104.94000244140625, 206.94000244140625, 251.80999755859375, 368.739990234375], ""score"": 0.6304943561553955}, {""box"": [384.4800109863281, 204.1199951171875, 508.260009765625, 351.42999267578125], ""score"": 0.5994880199432373}, {""box"": [1.899999976158142, 205.0399932861328, 122.33000183105469, 354.7900085449219], ""score"": 0.5813357830047607}, {""box"": [3.9700000286102295, 136.99000549316406, 510.5, 432.94000244140625], ""score"": 0.20254580676555634}]}, ""relations"": {}}",0,0,,1,0.8691250700503588,13622855168,item_00251
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_color_binding_003,color_binding,p1,equivalent,131,images/sd15/main_color_binding_003/p1/seed_131.png,2dfd044a8255e96abca51dfdf2e47ba98741f53e17aa64c1b152807539fc8446,0,0.25,0001,"[""count:banana=1"", ""count:bottle=1"", ""color:banana=yellow"", ""color:bottle=purple""]","{""color:banana=yellow"": false, ""color:bottle=purple"": true, ""count:banana=1"": false, ""count:bottle=1"": false}","{""colors"": {""banana"": {""confidence"": 0.27439773082733154, ""label"": ""purple"", ""margin"": 0.11220312118530273}, ""bottle"": {""confidence"": 0.9843478202819824, ""label"": ""purple"", ""margin"": 0.973797619342804}}, ""detections"": {""banana"": [{""box"": [50.84000015258789, 303.1499938964844, 191.60000610351562, 466.80999755859375], ""score"": 0.7735016942024231}, {""box"": [1.2300000190734863, 357.7200012207031, 148.1999969482422, 480.9100036621094], ""score"": 0.7432300448417664}, {""box"": [449.3900146484375, 336.07000732421875, 511.67999267578125, 469.7799987792969], ""score"": 0.3874213397502899}, {""box"": [458.29998779296875, 339.45001220703125, 493.0199890136719, 406.9599914550781], ""score"": 0.12976481020450592}], ""bottle"": [{""box"": [221.41000366210938, 289.20001220703125, 308.7099914550781, 481.92999267578125], ""score"": 0.5713619589805603}, {""box"": [348.75, 286.1000061035156, 440.1400146484375, 483.510009765625], ""score"": 0.5705022811889648}]}, ""relations"": {}}",0,0,,1,0.8228802909143269,3439791104,item_00252
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_color_binding_009,color_binding,p2,equivalent,47,images/sdxl/main_color_binding_009/p2/seed_47.png,ad57bba14aa1440a4a9e3afc0c8b95f63b19f12a2955a082607deaa2ecd05def,0,0.25,0100,"[""count:bicycle=1"", ""count:ball=1"", ""color:bicycle=yellow"", ""color:ball=purple""]","{""color:ball=purple"": false, ""color:bicycle=yellow"": false, ""count:ball=1"": true, ""count:bicycle=1"": false}","{""colors"": {""ball"": {""confidence"": 0.9066935181617737, ""label"": ""yellow"", ""margin"": 0.8580604791641235}, ""bicycle"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}}, ""detections"": {""ball"": [{""box"": [158.6300048828125, 340.3800048828125, 259.0299987792969, 443.79998779296875], ""score"": 0.7634385824203491}], ""bicycle"": []}, ""relations"": {}}",0,0,,1,1.5003026761114595,8062146048,item_00253
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_color_binding_000,color_binding,p2,equivalent,47,images/sd15/main_color_binding_000/p2/seed_47.png,787052b46875e2c09d7844fb83dcedd4ea97151182d7a7a380f4a1772aeaffb2,0,0.0,0000,"[""count:cat=1"", ""count:dog=1"", ""color:cat=red"", ""color:dog=green""]","{""color:cat=red"": false, ""color:dog=green"": false, ""count:cat=1"": false, ""count:dog=1"": false}","{""colors"": {""cat"": {""confidence"": 0.5701355934143066, ""label"": ""white"", ""margin"": 0.42715853452682495}, ""dog"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}}, ""detections"": {""cat"": [{""box"": [264.8399963378906, 34.720001220703125, 512.72998046875, 488.239990234375], ""score"": 0.6965017318725586}, {""box"": [124.11000061035156, 226.66000366210938, 326.8399963378906, 498.3999938964844], ""score"": 0.6518808007240295}], ""dog"": []}, ""relations"": {}}",0,0,,1,0.8643795680254698,3439791104,item_00254
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_color_binding_003,color_binding,p1,equivalent,211,images/sd15/main_color_binding_003/p1/seed_211.png,2595b06193f1e52cf5424ab1c77f932eba7972022df2dddc392d5c7e1ab3b1de,0,0.0,0000,"[""count:banana=1"", ""count:bottle=1"", ""color:banana=yellow"", ""color:bottle=purple""]","{""color:banana=yellow"": false, ""color:bottle=purple"": false, ""count:banana=1"": false, ""count:bottle=1"": false}","{""colors"": {""banana"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}, ""bottle"": {""confidence"": 0.9705483913421631, ""label"": ""yellow"", ""margin"": 0.9549790024757385}}, ""detections"": {""banana"": [], ""bottle"": [{""box"": [183.89999389648438, 142.97000122070312, 259.0799865722656, 381.1000061035156], ""score"": 0.5816318988800049}, {""box"": [91.33999633789062, 149.61000061035156, 165.1300048828125, 384.0], ""score"": 0.5556960701942444}, {""box"": [344.3699951171875, 142.08999633789062, 422.19000244140625, 385.9200134277344], ""score"": 0.5426649451255798}, {""box"": [276.1300048828125, 213.7100067138672, 344.19000244140625, 385.1300048828125], ""score"": 0.5306380987167358}, {""box"": [15.0, 168.5800018310547, 87.81999969482422, 383.57000732421875], ""score"": 0.5155038237571716}, {""box"": [416.04998779296875, 174.8699951171875, 476.29998779296875, 377.1000061035156], ""score"": 0.5015255212783813}, {""box"": [3.25, 134.3699951171875, 504.0199890136719, 387.6499938964844], ""score"": 0.1778281182050705}, {""box"": [496.80999755859375, 172.92999267578125, 511.9100036621094, 381.1300048828125], ""score"": 0.15346162021160126}]}, ""relations"": {}}",0,0,,1,0.8772354917600751,3439791104,item_00255
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_017,spatial,p2,equivalent,29,images/sd15/main_spatial_017/p2/seed_29.png,89c2fa8430021ef6fbd4b11fd4b5014df8196a5a288afc7651ecdfe54426dfe5,0,0.3333333333333333,100,"[""count:cup=1"", ""count:book=1"", ""relation:cup:above:book""]","{""count:book=1"": false, ""count:cup=1"": true, ""relation:cup:above:book"": false}","{""colors"": {}, ""detections"": {""book"": [{""box"": [185.5500030517578, 24.360000610351562, 504.760009765625, 426.8699951171875], ""score"": 0.47481033205986023}, {""box"": [424.6199951171875, 21.0, 514.510009765625, 393.29998779296875], ""score"": 0.3767769932746887}], ""cup"": [{""box"": [444.20001220703125, 379.54998779296875, 512.9199829101562, 485.2900085449219], ""score"": 0.2673736810684204}]}, ""relations"": {""relation:cup:above:book"": {""dx"": 0.260556623339653, ""dy"": 0.40391601622104645}}}",0,0,,1,0.8602138916030526,3439791104,item_00256
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_002,existence,p0,equivalent,101,images/sdxl/main_existence_002/p0/seed_101.png,1a9d7c93301e7c5a79749a5023f4e27499f4126e94ad789d5c712dd5cafd679d,1,1.0,11,"[""exists:apple"", ""exists:banana""]","{""exists:apple"": true, ""exists:banana"": true}","{""colors"": {}, ""detections"": {""apple"": [{""box"": [148.4600067138672, 104.91999816894531, 401.8599853515625, 376.2900085449219], ""score"": 0.7510309815406799}], ""banana"": [{""box"": [423.20001220703125, 248.63999938964844, 511.8500061035156, 395.57000732421875], ""score"": 0.6900361776351929}, {""box"": [0.9200000166893005, 197.83999633789062, 164.08999633789062, 387.29998779296875], ""score"": 0.6387732625007629}, {""box"": [0.30000001192092896, 80.16000366210938, 91.73999786376953, 262.2300109863281], ""score"": 0.5290699601173401}, {""box"": [45.849998474121094, 122.5, 91.66999816894531, 238.86000061035156], ""score"": 0.3101530373096466}, {""box"": [8.59000015258789, 78.91999816894531, 73.22000122070312, 138.75999450683594], ""score"": 0.11148291826248169}]}, ""relations"": {}}",0,0,,0,1.5114594982005656,8060048896,item_00257
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_spatial_017,spatial,p3,equivalent,71,images/sdxl/main_spatial_017/p3/seed_71.png,de5151e53192b4fa7cdec27df26298909610163ecc56cfac07ad9a3d5f45f38f,0,0.6666666666666666,101,"[""count:cup=1"", ""count:book=1"", ""relation:cup:above:book""]","{""count:book=1"": false, ""count:cup=1"": true, ""relation:cup:above:book"": true}","{""colors"": {}, ""detections"": {""book"": [{""box"": [91.1500015258789, 250.1999969482422, 441.5400085449219, 436.4100036621094], ""score"": 0.42721623182296753}, {""box"": [176.50999450683594, 334.1400146484375, 425.1199951171875, 422.8999938964844], ""score"": 0.29550841450691223}, {""box"": [97.05999755859375, 361.7699890136719, 442.1000061035156, 511.1000061035156], ""score"": 0.20251502096652985}], ""cup"": [{""box"": [146.5399932861328, 141.55999755859375, 359.7900085449219, 334.75], ""score"": 0.5998441576957703}]}, ""relations"": {""relation:cup:above:book"": {""dx"": -0.025742195546627045, ""dy"": -0.20537109673023224}}}",0,0,,1,1.5036614127457142,8061883904,item_00258
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_existence_023,existence,p3,equivalent,211,images/pixart_sigma/main_existence_023/p3/seed_211.png,e81d4826dfabe40b2d4e6e8451c4fbe75ce184858b3c80f527a2725e8a741ba0,1,1.0,11,"[""exists:clock"", ""exists:dog""]","{""exists:clock"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [49.59000015258789, 2.569999933242798, 484.989990234375, 413.6499938964844], ""score"": 0.5813618302345276}, {""box"": [366.82000732421875, 335.5899963378906, 446.010009765625, 445.0], ""score"": 0.520743191242218}, {""box"": [-0.23000000417232513, 225.91000366210938, 81.48999786376953, 432.3299865722656], ""score"": 0.4237367808818817}, {""box"": [20.579999923706055, 335.2799987792969, 71.05999755859375, 390.0199890136719], ""score"": 0.22246913611888885}], ""dog"": [{""box"": [80.7300033569336, 96.70999908447266, 394.95001220703125, 452.04998779296875], ""score"": 0.7307732701301575}]}, ""relations"": {}}",0,0,,0,0.8772744899615645,13622855168,item_00259
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_010,count,p1,equivalent,47,images/sdxl/main_count_010/p1/seed_47.png,2748443436281bdea895504a96c6cdf7eae6984334bf84fb365ab3367eb8de7e,0,0.0,0,"[""count:cup=4""]","{""count:cup=4"": false}","{""colors"": {}, ""detections"": {""cup"": [{""box"": [273.82000732421875, 315.5400085449219, 393.25, 403.4800109863281], ""score"": 0.5427697896957397}, {""box"": [269.3599853515625, 175.1699981689453, 392.489990234375, 274.239990234375], ""score"": 0.5418791770935059}, {""box"": [124.56999969482422, 174.2899932861328, 244.27999877929688, 273.4800109863281], ""score"": 0.5397922396659851}, {""box"": [124.31999969482422, 314.25, 249.5500030517578, 404.5299987792969], ""score"": 0.4918336868286133}, {""box"": [120.0, 334.32000732421875, 152.52000427246094, 375.7900085449219], ""score"": 0.13670790195465088}]}, ""relations"": {}}",0,0,,1,1.5166379720903933,8061097472,item_00260
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_existence_002,existence,p2,equivalent,131,images/pixart_sigma/main_existence_002/p2/seed_131.png,82057442e13ef0fea6daf3df94621f5be51c9edbae91fd578db4cb267af4ff40,1,1.0,11,"[""exists:apple"", ""exists:banana""]","{""exists:apple"": true, ""exists:banana"": true}","{""colors"": {}, ""detections"": {""apple"": [{""box"": [60.40999984741211, 160.02999877929688, 302.010009765625, 436.29998779296875], ""score"": 0.7852972745895386}], ""banana"": [{""box"": [271.7099914550781, 286.6400146484375, 489.80999755859375, 466.19000244140625], ""score"": 0.625216543674469}, {""box"": [204.8800048828125, 93.31999969482422, 432.0799865722656, 350.8699951171875], ""score"": 0.5430629253387451}, {""box"": [292.0899963378906, 175.58999633789062, 386.42999267578125, 341.3800048828125], ""score"": 0.10167854279279709}]}, ""relations"": {}}",0,0,,0,0.8677012990228832,13622855168,item_00261
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_020,count,p2,equivalent,11,images/pixart_sigma/main_count_020/p2/seed_11.png,fdd13de017f832d7c9bde143f21a1aa7880fe4af38ae00470cc3ee228faf23a4,0,0.0,0,"[""count:ball=3""]","{""count:ball=3"": false}","{""colors"": {}, ""detections"": {""ball"": [{""box"": [196.64999389648438, 381.0899963378906, 326.260009765625, 509.44000244140625], ""score"": 0.4645359218120575}, {""box"": [77.61000061035156, 379.3399963378906, 200.72999572753906, 501.70001220703125], ""score"": 0.4560251533985138}, {""box"": [319.67999267578125, 387.8800048828125, 440.3299865722656, 507.7900085449219], ""score"": 0.45229819416999817}, {""box"": [317.4599914550781, 232.14999389648438, 443.1400146484375, 365.17999267578125], ""score"": 0.4248378276824951}, {""box"": [75.68000030517578, 233.47000122070312, 200.02999877929688, 368.04998779296875], ""score"": 0.4170709550380707}, {""box"": [193.89999389648438, 235.50999450683594, 326.0199890136719, 372.8800048828125], ""score"": 0.4047412574291229}, {""box"": [77.5199966430664, 229.35000610351562, 445.69000244140625, 375.1300048828125], ""score"": 0.11047981679439545}]}, ""relations"": {}}",0,0,,1,0.8638018830679357,13622855168,item_00262
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_003,color_binding,p3,equivalent,101,images/pixart_sigma/main_color_binding_003/p3/seed_101.png,49375e29008c127b1a3358cf699e8848cd12ae883f0e226160606477eaef01e2,0,0.75,0111,"[""count:banana=1"", ""count:bottle=1"", ""color:banana=yellow"", ""color:bottle=purple""]","{""color:banana=yellow"": true, ""color:bottle=purple"": true, ""count:banana=1"": false, ""count:bottle=1"": true}","{""colors"": {""banana"": {""confidence"": 0.7561787962913513, ""label"": ""yellow"", ""margin"": 0.6642128229141235}, ""bottle"": {""confidence"": 0.9759501814842224, ""label"": ""purple"", ""margin"": 0.9668317437171936}}, ""detections"": {""banana"": [{""box"": [94.77999877929688, 267.3500061035156, 357.3599853515625, 405.6400146484375], ""score"": 0.7128462791442871}, {""box"": [34.400001525878906, 373.8800048828125, 366.7200012207031, 436.4800109863281], ""score"": 0.6457359790802002}, {""box"": [96.58999633789062, 273.32000732421875, 198.60000610351562, 392.1400146484375], ""score"": 0.10350680351257324}], ""bottle"": [{""box"": [335.2300109863281, 102.87000274658203, 443.739990234375, 431.3699951171875], ""score"": 0.5245776772499084}]}, ""relations"": {}}",0,0,,1,0.8775062221102417,13622855168,item_00263
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_013,color_binding,p1,equivalent,173,images/pixart_sigma/main_color_binding_013/p1/seed_173.png,da137f8e59fa746c994eace9ae6aa32651171dae917109197915d3991a668030,0,0.75,1011,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": true, ""color:dog=blue"": true, ""count:banana=1"": false, ""count:dog=1"": true}","{""colors"": {""banana"": {""confidence"": 0.4387572705745697, ""label"": ""yellow"", ""margin"": 0.2833479642868042}, ""dog"": {""confidence"": 0.9583942294120789, ""label"": ""blue"", ""margin"": 0.9306687116622925}}, ""detections"": {""banana"": [{""box"": [28.790000915527344, 159.6999969482422, 146.88999938964844, 480.3299865722656], ""score"": 0.7620565891265869}, {""box"": [274.3699951171875, 114.76000213623047, 486.989990234375, 503.57000732421875], ""score"": 0.693105161190033}, {""box"": [65.2300033569336, 356.0899963378906, 302.1400146484375, 486.42999267578125], ""score"": 0.6533781290054321}, {""box"": [268.989990234375, 434.8999938964844, 306.32000732421875, 484.6000061035156], ""score"": 0.18117840588092804}], ""dog"": [{""box"": [110.69000244140625, 70.5199966430664, 398.6400146484375, 472.42999267578125], ""score"": 0.6252124309539795}]}, ""relations"": {}}",0,0,,1,0.9124399721622468,13622855168,item_00264
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_010,count,p2,equivalent,11,images/sdxl/main_count_010/p2/seed_11.png,74fbf977acf83d395c22d9159eb46d46be4d29eb8d243f4c2301ea4c5e2a20e6,1,1.0,1,"[""count:cup=4""]","{""count:cup=4"": true}","{""colors"": {}, ""detections"": {""cup"": [{""box"": [196.74000549316406, 288.739990234375, 361.6199951171875, 432.7900085449219], ""score"": 0.415289968252182}, {""box"": [36.86000061035156, 289.2900085449219, 197.1300048828125, 433.2300109863281], ""score"": 0.3625684380531311}, {""box"": [338.57000732421875, 284.70001220703125, 485.5299987792969, 413.32000732421875], ""score"": 0.344066858291626}, {""box"": [36.220001220703125, 283.8900146484375, 486.04998779296875, 434.92999267578125], ""score"": 0.13385632634162903}]}, ""relations"": {}}",0,0,,1,1.5006702248938382,8060311040,item_00265
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_002,existence,p3,equivalent,211,images/sd15/main_existence_002/p3/seed_211.png,36e1a377140c0a3dfff17fcf9a4d83968d319aed6550572a8b88ce589835de7c,0,0.5,01,"[""exists:apple"", ""exists:banana""]","{""exists:apple"": false, ""exists:banana"": true}","{""colors"": {}, ""detections"": {""apple"": [], ""banana"": [{""box"": [187.27999877929688, 89.69999694824219, 339.70001220703125, 448.510009765625], ""score"": 0.9446901082992554}]}, ""relations"": {}}",0,0,,0,0.8690216331742704,3439791104,item_00266
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_spatial_008,spatial,p0,equivalent,47,images/sdxl/main_spatial_008/p0/seed_47.png,04d407aeb1fab479a1522b80b08dcdf98bb63c623ab8be76a25e79d310e7d32f,0,0.3333333333333333,010,"[""count:car=1"", ""count:bicycle=1"", ""relation:car:left_of:bicycle""]","{""count:bicycle=1"": true, ""count:car=1"": false, ""relation:car:left_of:bicycle"": false}","{""colors"": {}, ""detections"": {""bicycle"": [{""box"": [202.7100067138672, 292.4200134277344, 479.7799987792969, 449.6499938964844], ""score"": 0.6259353756904602}], ""car"": []}, ""relations"": {""relation:car:left_of:bicycle"": null}}",0,0,0.0,1,1.5539611801505089,8061883904,item_00267
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_017,spatial,p3,equivalent,71,images/sd15/main_spatial_017/p3/seed_71.png,a7b07000f34b198704ca513a110ccda2216485523edb40eccb76ca648b0c270b,0,0.3333333333333333,010,"[""count:cup=1"", ""count:book=1"", ""relation:cup:above:book""]","{""count:book=1"": true, ""count:cup=1"": false, ""relation:cup:above:book"": false}","{""colors"": {}, ""detections"": {""book"": [{""box"": [260.9599914550781, 2.119999885559082, 511.30999755859375, 492.04998779296875], ""score"": 0.5199699401855469}], ""cup"": []}, ""relations"": {""relation:cup:above:book"": null}}",0,0,,1,0.8308223159983754,3439791104,item_00268
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_013,color_binding,p3,equivalent,131,images/pixart_sigma/main_color_binding_013/p3/seed_131.png,3b92e8c015b977f1b5c9c7ed9d4d7a9500603a08b3608852096b79362361b1d0,0,0.5,1010,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": false, ""color:dog=blue"": true, ""count:banana=1"": false, ""count:dog=1"": true}","{""colors"": {""banana"": {""confidence"": 0.37121838331222534, ""label"": ""blue"", ""margin"": 0.027942001819610596}, ""dog"": {""confidence"": 0.9739601612091064, ""label"": ""blue"", ""margin"": 0.9537870287895203}}, ""detections"": {""banana"": [{""box"": [60.34000015258789, 333.17999267578125, 357.260009765625, 451.2699890136719], ""score"": 0.8850116729736328}, {""box"": [315.2300109863281, 357.2200012207031, 348.1600036621094, 390.489990234375], ""score"": 0.22857312858104706}], ""dog"": [{""box"": [240.89999389648438, 126.73999786376953, 465.1499938964844, 436.95001220703125], ""score"": 0.6898199319839478}]}, ""relations"": {}}",0,0,,1,0.9232879262417556,13622855168,item_00269
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_count_022,count,p2,equivalent,101,images/sd15/main_count_022/p2/seed_101.png,a5fb1f082695e69431fb98e58e8115685dbf535e19b88dd78901cc781fd6d6fa,0,0.0,0,"[""count:clock=4""]","{""count:clock=4"": false}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [155.42999267578125, 131.88999938964844, 407.5199890136719, 387.0400085449219], ""score"": 0.6928789615631104}, {""box"": [0.7699999809265137, 118.5999984741211, 120.12999725341797, 392.1300048828125], ""score"": 0.49470245838165283}, {""box"": [439.0899963378906, 138.3300018310547, 511.5799865722656, 386.5799865722656], ""score"": 0.3684502840042114}]}, ""relations"": {}}",0,0,,1,0.887141958810389,3439791104,item_00270
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_spatial_008,spatial,p1,equivalent,211,images/sdxl/main_spatial_008/p1/seed_211.png,2ac7e6759853d70064815bd9a3a8122dfc4bdc0d3cbce4a62208507c9795040b,0,0.3333333333333333,010,"[""count:car=1"", ""count:bicycle=1"", ""relation:car:left_of:bicycle""]","{""count:bicycle=1"": true, ""count:car=1"": false, ""relation:car:left_of:bicycle"": false}","{""colors"": {}, ""detections"": {""bicycle"": [{""box"": [265.67999267578125, 278.70001220703125, 512.489990234375, 434.4200134277344], ""score"": 0.67463219165802}], ""car"": []}, ""relations"": {""relation:car:left_of:bicycle"": null}}",0,0,,1,1.548791561741382,8061883904,item_00271
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_013,existence,p0,equivalent,29,images/sd15/main_existence_013/p0/seed_29.png,4e36e8e4ce0f087c0c6ad9a9e4f0728cb5d9584ef625733dbb00f7115c2740f8,0,0.5,10,"[""exists:dog"", ""exists:banana""]","{""exists:banana"": false, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""banana"": [], ""dog"": [{""box"": [143.89999389648438, 212.2899932861328, 257.80999755859375, 468.6300048828125], ""score"": 0.721058189868927}, {""box"": [182.2100067138672, 103.52999877929688, 430.79998779296875, 428.19000244140625], ""score"": 0.1007387563586235}]}, ""relations"": {}}",0,0,,0,0.8514374671503901,3439791104,item_00272
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_000,spatial,p1,equivalent,131,images/sd15/main_spatial_000/p1/seed_131.png,650485b765a673a97b16175d93078d5eb14c8e4a7c9c639bb3e3eaa25f29f9c4,0,0.0,000,"[""count:cat=1"", ""count:dog=1"", ""relation:cat:left_of:dog""]","{""count:cat=1"": false, ""count:dog=1"": false, ""relation:cat:left_of:dog"": false}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [16.579999923706055, 29.84000015258789, 247.9499969482422, 508.7200012207031], ""score"": 0.8197330832481384}, {""box"": [250.99000549316406, 12.710000038146973, 491.7799987792969, 510.32000732421875], ""score"": 0.8121055960655212}], ""dog"": []}, ""relations"": {""relation:cat:left_of:dog"": null}}",0,0,,1,0.8195673367008567,3439791104,item_00273
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_023,existence,p1,equivalent,47,images/sd15/main_existence_023/p1/seed_47.png,7be66e09e225623afeb5cb541f93b200f93192412ceb8df0ba3e7f7f117600ab,1,1.0,11,"[""exists:clock"", ""exists:dog""]","{""exists:clock"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [7.5, 7.78000020980835, 508.45001220703125, 510.8599853515625], ""score"": 0.7887784242630005}], ""dog"": [{""box"": [95.66000366210938, 177.60000610351562, 363.2799987792969, 515.0700073242188], ""score"": 0.6689204573631287}]}, ""relations"": {}}",0,0,,0,0.8117572129704058,3439791104,item_00274
